cliente_id,producto_id
207129,44914
153720,61560
244731,50716
244092,36722
209799,56714
154635,50962
203868,50968
222906,1304
238293,32496
181860,63186
153279,61560
201798,63136
207597,44644
207240,10808
172719,50970
203151,61560
208617,48574
69249,52918
212430,62378
174468,35846
154506,63136
223776,50720
249081,54864
154119,50970
223401,44302
167514,55798
210171,50962
237765,63186
225987,63186
238608,51316
187659,62614
66378,36720
206955,62170
200502,62614
243927,37644
253335,59822
172719,53256
206457,61028
206418,1304
211632,62614
211947,54096
219132,62170
249579,37644
216366,44302
203310,50962
186882,33534
249513,63418
192300,53160
212505,63418
253308,61672
182442,59822
158742,46632
158766,59776
203733,11490
251142,44660
154779,53048
250020,53258
89013,61028
153792,53258
246216,61364
243081,52918
212220,36762
188685,59816
208560,61672
158658,63220
225669,50720
246339,44914
214968,57414
220713,59394
208788,63188
251121,54096
208788,63186
222852,1370
203214,48298
226140,62616
201741,53394
210627,51316
208209,55798
210627,61540
153423,1370
177474,11490
163101,59816
165045,53394
129135,50716
192714,16358
222894,55638
72108,48980
234972,10790
198801,60978
222225,55638
232455,51974
239115,63218
154812,58504
158274,53160
181203,52620
195894,62618
206442,50718
242442,50970
163482,52918
153303,44302
250344,53406
149634,53160
229737,45912
154743,57522
211683,59394
163251,124
207387,62376
251631,62274
217293,62860
192768,33886
192768,53406
222852,59822
207105,63538
245868,124
229737,34092
203502,52918
157416,61280
156057,63188
205662,1372
153675,32496
222438,59394
66879,61028
154665,53256
206460,10652
248373,39186
155481,63220
229527,11490
192756,51316
199854,54864
60882,1304
229737,50724
61305,49888
65577,36720
239577,39186
238878,52918
192768,57522
177951,44660
206943,61558
207822,44644
204141,44660
212592,53256
212397,63218
229977,44662
59703,52620
155271,50720
203052,46632
235932,55798
210129,57522
195771,36722
192549,53394
176607,63220
221115,36762
236655,61540
207264,55638
206304,52918
180801,61280
167451,58504
188685,53160
172008,34092
195507,53048
249486,44660
209520,57804
251766,50720
160770,52620
212571,35846
154998,62618
154797,61558
250947,55632
244971,53406
192768,61280
186177,53386
155556,63540
208485,53406
248724,63540
179088,62074
175815,61672
222204,62618
204762,50268
206811,53160
172035,59822
198573,44914
209976,59816
231282,63510
221151,10652
205821,50272
210111,48980
251967,62274
208812,50268
222669,33886
231162,61672
203271,10808
208722,59394
197835,33534
241026,53386
231057,45912
66924,36720
187875,39186
183366,3382
250344,50970
65631,61552
225390,62376
220170,57522
191232,63220
208479,63418
191250,55638
175293,50962
157938,58504
210813,59396
215517,63136
195582,59822
159831,50724
243477,51316
247632,54290
183573,56714
227292,33534
247983,1304
206448,61364
247983,34092
174513,37644
154518,61280
153642,61542
231096,42132
241350,62378
249930,11262
191892,57804
187734,61552
205740,61560
206991,62276
167571,33886
155097,46632
207099,51974
184950,10808
153279,3382
247374,63540
206481,62170
220011,61558
185067,55632
223401,50968
191451,56696
209637,63186
244644,1370
66033,63220
68568,34092
65313,50272
219381,53256
59700,63538
204144,36720
155271,62614
219522,44914
224631,36722
210393,59394
201030,62376
203829,57804
245706,36762
161208,53386
252210,52620
244644,63510
209793,52918
252066,56484
186378,58504
229536,61364
246339,50720
244065,32496
232614,63510
166356,48298
207618,59776
237840,44644
183105,59394
246099,11262
225987,55798
225012,48574
251169,50274
187707,63220
241218,59816
157311,11262
66465,50716
64272,11490
209976,32496
241218,50274
206484,63510
207084,44644
211383,50718
224631,1206
72558,53386
206616,11490
192735,50724
154509,62378
234972,44664
153669,1206
157080,53394
213885,45912
206823,55632
63582,50272
153348,44644
248301,62276
206412,63418
172587,52918
212592,11262
155337,54096
171372,50272
66843,1304
154119,63136
153150,48574
188937,63220
190113,50724
211125,50724
250749,61540
248373,58504
153423,59816
184635,48980
216648,61540
203670,55638
203871,48980
210876,63136
61629,124
220269,63136
193542,60522
153348,10808
195723,44664
231102,33886
162960,50720
206964,30500
207144,50718
189009,52620
207822,49888
206952,61280
232503,62276
161283,44644
201564,44660
242442,56714
205665,50968
229539,53386
155016,61558
206958,1372
234120,49888
61344,53046
179700,62074
214506,55638
244731,44644
233427,61280
213987,53160
243954,62944
210393,61558
203322,63360
61353,51974
211476,58504
223518,34092
203100,53048
247983,35732
208794,63360
248706,63540
206634,62170
198552,61560
204771,57522
163131,61552
155043,16358
188787,48574
243981,1372
163251,60
222225,46632
246054,63218
193911,61348
251610,51974
159027,63510
181110,54290
206448,61552
128502,61542
210633,30500
221115,61028
216108,62274
69060,63538
234030,53048
207144,59822
186942,61672
207498,59816
244446,45912
226140,10790
222711,61672
206748,33534
186942,53258
190152,46632
154887,63186
180471,63220
206856,33886
207123,62378
212688,53046
248706,61542
207099,52918
208479,50268
59703,59394
201837,61364
179436,56484
195507,59396
232266,50274
207390,44302
165183,48298
207345,44644
153072,61540
244446,52918
178068,39186
243390,63136
65052,58504
238572,61280
61692,1370
238377,60978
210114,63510
128538,48980
203151,62376
221115,63538
244041,56714
156339,55632
25734,59394
457455,61364
244866,56484
203775,61558
63873,63188
203055,62400
163032,1304
212445,62860
206979,57414
206847,33534
221751,11490
212433,57804
231414,50274
192300,59394
61215,48694
212775,44660
88821,61348
176643,36720
64353,61348
186174,60522
252696,61558
223782,1372
154560,45912
153141,59396
251829,56714
95988,56696
72558,44664
61344,54864
157710,50274
203295,54290
212220,62616
219456,57804
204762,50720
186174,35732
180672,62616
188196,53256
225480,44662
204480,50724
198873,50268
203700,57522
72645,59776
71271,48980
247374,63188
154041,62616
250020,44662
251202,61540
232503,53256
203661,56484
203175,56714
184863,62618
186951,36762
174195,61028
176403,60522
206343,53046
246618,63540
227310,54290
192627,62400
251085,36720
184605,62400
156024,54864
206646,63510
241329,53406
206940,53406
153279,44302
242439,54096
165126,44662
248064,50968
231282,60978
246216,53406
157236,48298
204189,35732
154068,50962
206799,1370
61344,62376
238878,44914
211740,61348
229812,45912
153792,50724
218958,53046
203451,51316
204054,59396
186438,48298
154797,63136
208575,39186
207129,50272
244680,54290
194388,11262
238068,56714
247962,44664
183786,55638
223968,59776
157224,50268
208521,62614
67371,62860
198279,63418
207219,50970
179700,44644
194601,62944
197802,55638
208350,62614
187659,48298
166362,42132
203175,50274
65328,44662
128604,44302
153672,11262
72558,61558
186438,50968
251631,10808
206460,53386
173667,50268
194424,57522
186216,59394
155481,61542
128763,59396
220632,62616
239556,61540
195723,10808
249573,36762
194904,50970
211527,56696
198801,53046
206634,63538
71409,3382
231096,50970
165915,61364
60882,63136
249687,62274
214506,53394
236775,1372
153867,51316
250629,61560
214506,48574
209970,124
195249,61552
171684,10652
61824,59396
187806,63360
234030,10808
165717,53258
186882,1206
244173,33534
232410,62860
63867,53048
249216,53160
212640,54864
207588,62274
206667,53394
63873,60978
212220,35846
217380,36722
154803,53046
209994,53258
208572,61364
202638,59816
246618,39186
243981,1304
202959,59396
217293,53046
250977,60522
186990,53258
196302,63418
166599,63418
210810,50272
239115,56484
154077,50718
176607,61560
213114,50718
206745,44664
205107,61028
244479,50962
198279,10790
203268,50716
183459,60
222906,50970
203517,58504
205353,57804
198522,50272
222159,30500
216123,61364
250749,63418
243546,62170
179790,44302
240918,16358
208533,50718
198981,62400
185067,62376
233814,61542
61824,51316
163554,57414
222843,44644
203301,3382
166437,39186
202959,124
219021,61672
227664,62074
249222,35732
187707,56696
216366,62400
205332,57414
217536,57414
67764,62616
212442,62400
244041,1304
241329,44644
183468,36720
246216,61552
248202,59396
212235,63188
188730,61558
225390,49888
153600,53386
253308,62614
208116,61672
197529,37644
192942,36720
194883,53160
238827,50968
198882,35846
246720,30500
205740,33886
72312,61280
153813,44302
64734,45912
203724,62170
164661,62618
244158,50716
153150,62400
61344,54096
207927,60
241389,52918
221610,49888
203256,50720
187797,35846
249843,49888
219231,59776
72027,53258
96138,54290
72483,50970
72918,55798
224145,50716
248550,61560
155106,1206
205731,61672
231708,63218
208116,62074
207096,50968
196722,55638
234972,36720
251235,50720
179700,61280
212301,32496
224925,53406
206457,61348
157398,36722
252774,56714
63873,57804
153912,44644
222204,52918
60888,61672
243081,50718
167136,36722
164871,61028
226848,61542
222516,44302
155481,59394
219231,60
237057,63538
153813,50270
252210,1206
154953,59776
63582,10652
247548,59396
65598,34092
210834,59816
176577,50724
208473,53406
207114,61542
176595,44660
253557,61028
252177,44660
240924,55798
203175,63540
212892,35846
203232,11262
183459,10790
210690,50270
192771,61540
156489,53386
213513,56484
253335,50970
155337,63360
162843,57804
238218,63360
155097,63538
183390,44664
208722,63188
231414,37644
225276,50270
213885,63360
172056,37644
154146,59776
249930,44660
251106,44664
195063,59816
157416,50970
165684,59396
222225,50270
206076,62378
210585,44664
218673,61348
69060,61560
185817,62170
157080,16358
155043,56484
208347,124
238536,53258
210114,33886
65052,50272
178230,46632
227469,37644
247974,46632
153744,50272
155388,59776
72645,46632
222621,61280
158742,63136
177474,53394
186384,48694
208485,55632
207396,3382
184485,48980
210813,50968
154506,59394
223071,62074
220269,44914
210690,45912
172719,59396
229539,56696
242130,3382
181110,57522
203241,48980
161667,61672
153438,62860
243081,10808
153912,62614
199242,61364
193965,62376
223554,61558
164541,61364
207150,11262
206991,50962
153312,63186
157767,50272
204243,60978
154374,51974
187263,44660
208761,53256
208476,3382
247374,63510
226662,51316
155055,62074
239508,44664
153885,50962
208476,62170
155556,61560
204795,62376
208560,44664
223530,48694
194790,61672
194388,33534
249513,52918
238887,60
60870,48980
191247,59822
239217,44644
165183,51316
247956,53160
153072,62276
246216,1370
158274,50724
60864,56696
235458,57414
56871,63540
209094,53394
228729,61558
249633,62376
68496,50970
232788,33886
206412,53386
230178,61540
64959,60
244287,46632
232665,55638
207330,62378
232404,44302
188196,48694
157938,62400
233970,48298
245976,61540
206616,59776
211683,62276
166437,35732
212505,11490
230028,61542
154098,53256
164541,50962
178458,56714
244278,53048
218958,63136
186942,62860
218673,56696
153960,50274
184698,54864
153312,53386
176643,62618
207993,56714
